SERIAL_NUMBER,LOCAL_CODE,LOCAL_NAME,YEAR,POPULATION,POPULATION_BIRTH,POPULATION_DEATH,POPULATION_DEATH_U1,GDP,GDP_PC,SANITATION,BIRTH_RATE,IMR,CMR,AGE,POPULATION_TARGET,INDICATOR,FL_DROPOUT,NU_DOSE_FIRST,NU_DOSE_FINAL,NU_DROPOUT,PC_DROPOUT,PC_COVERAGE,FL_GOAL,CAT_GOAL,MHDI_E_CATEGORY,MHDI_L_CATEGORY,MHDI_I_CATEGORY
1990,220027,Alegrete do Piauí,2019,4915,48,0,0,42274.565,8601.132248,3.89,9.766,0,0,0-1 year,48,FL_U1_BCG,0,,35,,,72.92,0,2,low,satisfactory,satisfactory
1991,220027,Alegrete do Piauí,2020,4918,56,42,1,42274.565,8601.132248,3.89,11.3867,17.8571,8.5401,0-1 year,56,FL_U1_BCG,0,,16,,,28.57,0,1,low,satisfactory,satisfactory
1992,220027,Alegrete do Piauí,2021,4921,60,31,1,42274.565,8601.132248,3.89,12.1926,16.6667,6.2995,0-1 year,60,FL_U1_BCG,0,,12,,,20,0,1,low,satisfactory,satisfactory
1993,220030,Alto Longá,2019,14304,112,89,1,107804.448,7536.66443,5.75,7.83,8.9286,6.222,0-1 year,112,FL_U1_BCG,0,,34,,,30.36,0,1,low,high,satisfactory
1994,220030,Alto Longá,2020,14339,125,105,2,107804.448,7536.66443,5.75,8.7175,16,7.3227,0-1 year,125,FL_U1_BCG,0,,25,,,20,0,1,low,high,satisfactory
1995,220030,Alto Longá,2021,14371,118,105,1,107804.448,7536.66443,5.75,8.211,8.4746,7.3064,0-1 year,118,FL_U1_BCG,0,,40,,,33.9,0,1,low,high,satisfactory
1996,220040,Altos,2019,40524,672,266,11,455637.362,11243.64234,12.33,16.5828,16.369,6.564,0-1 year,672,FL_U1_BCG,0,,165,,,24.55,0,1,satisfactory,high,satisfactory
1997,220040,Altos,2020,40605,596,306,12,455637.362,11243.64234,12.33,14.678,20.1342,7.536,0-1 year,596,FL_U1_BCG,0,,275,,,46.14,0,1,satisfactory,high,satisfactory
1998,220040,Altos,2021,40681,627,378,14,455637.362,11243.64234,12.33,15.4126,22.3285,9.2918,0-1 year,627,FL_U1_BCG,0,,152,,,24.24,0,1,satisfactory,high,satisfactory
1999,220045,Alvorada do Gurguéia,2019,5419,73,25,2,62525.007,11538.10795,13.9,13.4711,27.3973,4.6134,0-1 year,73,FL_U1_BCG,0,,12,,,16.44,0,1,low,satisfactory,satisfactory
2000,220045,Alvorada do Gurguéia,2020,5445,68,0,0,62525.007,11538.10795,13.9,12.4885,0,0,0-1 year,68,FL_U1_BCG,0,,0,,,0,0,1,low,satisfactory,satisfactory
2001,220045,Alvorada do Gurguéia,2021,5469,75,0,0,62525.007,11538.10795,13.9,13.7137,0,0,0-1 year,75,FL_U1_BCG,0,,3,,,4,0,1,low,satisfactory,satisfactory
2002,220050,Amarante,2019,17598,306,145,1,155944.013,8861.462268,4.49,17.3883,3.268,8.2396,0-1 year,306,FL_U1_BCG,0,,226,,,73.86,0,2,low,high,satisfactory
2003,220050,Amarante,2020,17604,266,133,3,155944.013,8861.462268,4.49,15.1102,11.2782,7.5551,0-1 year,266,FL_U1_BCG,0,,103,,,38.72,0,1,low,high,satisfactory
2004,220050,Amarante,2021,17609,257,169,6,155944.013,8861.462268,4.49,14.5948,23.3463,9.5974,0-1 year,257,FL_U1_BCG,0,,84,,,32.68,0,1,low,high,satisfactory
2005,220060,Angical do Piauí,2019,6788,93,60,1,68824.525,10139.14629,3.32,13.7006,10.7527,8.8391,0-1 year,93,FL_U1_BCG,0,,58,,,62.37,0,2,satisfactory,satisfactory,satisfactory
2006,220060,Angical do Piauí,2020,6783,81,0,0,68824.525,10139.14629,3.32,11.9416,0,0,0-1 year,81,FL_U1_BCG,0,,18,,,22.22,0,1,satisfactory,satisfactory,satisfactory
2007,220060,Angical do Piauí,2021,6779,86,52,1,68824.525,10139.14629,3.32,12.6862,11.6279,7.6707,0-1 year,86,FL_U1_BCG,0,,11,,,12.79,0,1,satisfactory,satisfactory,satisfactory
2008,220070,Anísio de Abreu,2019,9880,135,51,2,82141.644,8313.931579,20.97,13.664,14.8148,5.1619,0-1 year,135,FL_U1_BCG,0,,26,,,19.26,0,1,satisfactory,high,satisfactory
2009,220070,Anísio de Abreu,2020,9938,140,54,4,82141.644,8313.931579,20.97,14.0873,28.5714,5.4337,0-1 year,140,FL_U1_BCG,0,,24,,,17.14,0,1,satisfactory,high,satisfactory
2010,220070,Anísio de Abreu,2021,9994,151,65,6,82141.644,8313.931579,20.97,15.1091,39.7351,6.5039,0-1 year,151,FL_U1_BCG,0,,10,,,6.62,0,1,satisfactory,high,satisfactory
2011,220080,Antônio Almeida,2019,3164,57,18,1,86389.401,27303.85619,6.21,18.0152,17.5439,5.689,0-1 year,57,FL_U1_BCG,0,,9,,,15.79,0,1,satisfactory,high,satisfactory
2012,220080,Antônio Almeida,2020,3170,41,0,0,86389.401,27303.85619,6.21,12.9338,0,0,0-1 year,41,FL_U1_BCG,0,,4,,,9.76,0,1,satisfactory,high,satisfactory
2013,220080,Antônio Almeida,2021,3175,61,22,1,86389.401,27303.85619,6.21,19.2126,16.3934,6.9291,0-1 year,61,FL_U1_BCG,0,,4,,,6.56,0,1,satisfactory,high,satisfactory
2014,220090,Aroazes,2019,5835,65,49,1,49863.106,8545.519452,7.29,11.1397,15.3846,8.3976,0-1 year,65,FL_U1_BCG,0,,11,,,16.92,0,1,low,high,satisfactory
2015,220090,Aroazes,2020,5827,65,0,0,49863.106,8545.519452,7.29,11.155,0,0,0-1 year,65,FL_U1_BCG,0,,21,,,32.31,0,1,low,high,satisfactory
2016,220090,Aroazes,2021,5819,40,0,0,49863.106,8545.519452,7.29,6.874,0,0,0-1 year,40,FL_U1_BCG,0,,11,,,27.5,0,1,low,high,satisfactory
2017,220095,Aroeiras do Itaim,2019,2551,35,22,1,22512.085,8824.807918,0,13.7201,28.5714,8.6241,0-1 year,35,FL_U1_BCG,0,,4,,,11.43,0,1,low,satisfactory,satisfactory
2018,220095,Aroeiras do Itaim,2020,2551,23,0,0,22512.085,8824.807918,0,9.0161,0,0,0-1 year,23,FL_U1_BCG,0,,5,,,21.74,0,1,low,satisfactory,satisfactory
2019,220095,Aroeiras do Itaim,2021,2551,33,0,0,22512.085,8824.807918,0,12.9361,0,0,0-1 year,33,FL_U1_BCG,0,,13,,,39.39,0,1,low,satisfactory,satisfactory
2020,220100,Arraial,2019,4727,60,0,0,39454.389,8346.602285,1.74,12.693,0,0,0-1 year,60,FL_U1_BCG,0,,6,,,10,0,1,low,high,satisfactory
2021,220100,Arraial,2020,4720,47,32,3,39454.389,8346.602285,1.74,9.9576,63.8298,6.7797,0-1 year,47,FL_U1_BCG,0,,3,,,6.38,0,1,low,high,satisfactory
2022,220100,Arraial,2021,4713,67,0,0,39454.389,8346.602285,1.74,14.216,0,0,0-1 year,67,FL_U1_BCG,0,,1,,,1.49,0,1,low,high,satisfactory
2023,220105,Assunção do Piauí,2019,7846,117,35,3,55546.225,7079.559648,9.38,14.9121,25.641,4.4609,0-1 year,117,FL_U1_BCG,0,,80,,,68.38,0,2,low,satisfactory,low
2024,220105,Assunção do Piauí,2020,7863,127,51,1,55546.225,7079.559648,9.38,16.1516,7.874,6.4861,0-1 year,127,FL_U1_BCG,0,,89,,,70.08,0,2,low,satisfactory,low
2025,220105,Assunção do Piauí,2021,7879,123,47,2,55546.225,7079.559648,9.38,15.6111,16.2602,5.9652,0-1 year,123,FL_U1_BCG,0,,36,,,29.27,0,1,low,satisfactory,low
2026,220110,Avelino Lopes,2019,11289,212,67,2,84075.885,7447.593675,20.24,18.7793,9.434,5.935,0-1 year,212,FL_U1_BCG,0,,164,,,77.36,0,2,low,satisfactory,satisfactory
2027,220110,Avelino Lopes,2020,11326,169,92,3,84075.885,7447.593675,20.24,14.9214,17.7515,8.1229,0-1 year,169,FL_U1_BCG,0,,147,,,86.98,0,2,low,satisfactory,satisfactory
2028,220110,Avelino Lopes,2021,11361,174,87,2,84075.885,7447.593675,20.24,15.3156,11.4943,7.6578,0-1 year,174,FL_U1_BCG,0,,144,,,82.76,0,2,low,satisfactory,satisfactory
2029,220115,Baixa Grande do Ribeiro,2019,11586,284,42,3,863677.551,74544.92931,7.59,24.5123,10.5634,3.6251,0-1 year,284,FL_U1_BCG,0,,202,,,71.13,0,2,low,high,satisfactory
2030,220115,Baixa Grande do Ribeiro,2020,11671,267,73,4,863677.551,74544.92931,7.59,22.8772,14.9813,6.2548,0-1 year,267,FL_U1_BCG,0,,257,,,96.25,1,3,low,high,satisfactory
2031,220115,Baixa Grande do Ribeiro,2021,11751,319,87,6,863677.551,74544.92931,7.59,27.1466,18.8088,7.4036,0-1 year,319,FL_U1_BCG,0,,231,,,72.41,0,2,low,high,satisfactory
2032,220117,Barra D'Alcântara,2019,3951,36,0,0,36898.205,9338.95343,2.46,9.1116,0,0,0-1 year,36,FL_U1_BCG,0,,5,,,13.89,0,1,low,high,satisfactory
2033,220117,Barra D'Alcântara,2020,3952,46,32,1,36898.205,9338.95343,2.46,11.6397,21.7391,8.0972,0-1 year,46,FL_U1_BCG,0,,14,,,30.43,0,1,low,high,satisfactory
2034,220117,Barra D'Alcântara,2021,3953,40,33,1,36898.205,9338.95343,2.46,10.1189,25,8.3481,0-1 year,40,FL_U1_BCG,0,,22,,,55,0,2,low,high,satisfactory
2035,220120,Barras,2019,47066,678,253,16,439801.178,9344.350019,6.94,14.4053,23.5988,5.3754,0-1 year,678,FL_U1_BCG,0,,435,,,64.16,0,2,low,high,satisfactory
2036,220120,Barras,2020,47185,682,326,10,439801.178,9344.350019,6.94,14.4537,14.6628,6.909,0-1 year,682,FL_U1_BCG,0,,328,,,48.09,0,1,low,high,satisfactory
2037,220120,Barras,2021,47298,698,260,11,439801.178,9344.350019,6.94,14.7575,15.7593,5.4971,0-1 year,698,FL_U1_BCG,0,,399,,,57.16,0,2,low,high,satisfactory
2038,220130,Barreiras do Piauí,2019,3348,43,18,2,29045.167,8675.378435,4.49,12.8435,46.5116,5.3763,0-1 year,43,FL_U1_BCG,0,,7,,,16.28,0,1,low,satisfactory,satisfactory
2039,220130,Barreiras do Piauí,2020,3352,52,0,0,29045.167,8675.378435,4.49,15.5131,0,0,0-1 year,52,FL_U1_BCG,0,,2,,,3.85,0,1,low,satisfactory,satisfactory
2040,220130,Barreiras do Piauí,2021,3356,43,0,0,29045.167,8675.378435,4.49,12.8129,0,0,0-1 year,43,FL_U1_BCG,0,,2,,,4.65,0,1,low,satisfactory,satisfactory
2041,220140,Barro Duro,2019,7032,73,57,1,77109.666,10965.5384,1.09,10.3811,13.6986,8.1058,0-1 year,73,FL_U1_BCG,0,,33,,,45.21,0,1,satisfactory,satisfactory,satisfactory
2042,220140,Barro Duro,2020,7027,82,57,3,77109.666,10965.5384,1.09,11.6693,36.5854,8.1116,0-1 year,82,FL_U1_BCG,0,,35,,,42.68,0,1,satisfactory,satisfactory,satisfactory
2043,220140,Barro Duro,2021,7022,93,0,0,77109.666,10965.5384,1.09,13.2441,0,0,0-1 year,93,FL_U1_BCG,0,,19,,,20.43,0,1,satisfactory,satisfactory,satisfactory
2044,220150,Batalha,2019,26857,344,153,10,207609.104,7730.167331,3.69,12.8086,29.0698,5.6968,0-1 year,344,FL_U1_BCG,0,,117,,,34.01,0,1,low,high,satisfactory
2045,220150,Batalha,2020,26905,325,184,4,207609.104,7730.167331,3.69,12.0795,12.3077,6.8389,0-1 year,325,FL_U1_BCG,0,,23,,,7.08,0,1,low,high,satisfactory
2046,220150,Batalha,2021,26951,331,205,7,207609.104,7730.167331,3.69,12.2815,21.148,7.6064,0-1 year,331,FL_U1_BCG,0,,15,,,4.53,0,1,low,high,satisfactory
2047,220155,Bela Vista do Piauí,2019,4015,61,24,1,38435.875,9573.069738,1.42,15.193,16.3934,5.9776,0-1 year,61,FL_U1_BCG,0,,25,,,40.98,0,1,satisfactory,satisfactory,satisfactory
2048,220155,Bela Vista do Piauí,2020,4030,60,25,2,38435.875,9573.069738,1.42,14.8883,33.3333,6.2035,0-1 year,60,FL_U1_BCG,0,,21,,,35,0,1,satisfactory,satisfactory,satisfactory
2049,220155,Bela Vista do Piauí,2021,4044,62,29,2,38435.875,9573.069738,1.42,15.3314,32.2581,7.1711,0-1 year,62,FL_U1_BCG,0,,26,,,41.94,0,1,satisfactory,satisfactory,satisfactory
2050,220157,Belém do Piauí,2019,3566,34,0,0,33481.206,9389.008974,15.21,9.5345,0,0,0-1 year,34,FL_U1_BCG,0,,6,,,17.65,0,1,low,satisfactory,satisfactory
2051,220157,Belém do Piauí,2020,3587,40,0,0,33481.206,9389.008974,15.21,11.1514,0,0,0-1 year,40,FL_U1_BCG,0,,11,,,27.5,0,1,low,satisfactory,satisfactory
2052,220157,Belém do Piauí,2021,3607,34,26,2,33481.206,9389.008974,15.21,9.4261,58.8235,7.2082,0-1 year,34,FL_U1_BCG,0,,5,,,14.71,0,1,low,satisfactory,satisfactory
2053,220160,Beneditinos,2019,10467,113,0,0,82503.772,7882.274959,0.56,10.7958,0,0,0-1 year,113,FL_U1_BCG,0,,49,,,43.36,0,1,low,high,satisfactory
2054,220160,Beneditinos,2020,10473,118,68,1,82503.772,7882.274959,0.56,11.2671,8.4746,6.4929,0-1 year,118,FL_U1_BCG,0,,0,,,0,0,1,low,high,satisfactory
2055,220160,Beneditinos,2021,10479,123,93,2,82503.772,7882.274959,0.56,11.7378,16.2602,8.8749,0-1 year,123,FL_U1_BCG,0,,39,,,31.71,0,1,low,high,satisfactory
2056,220170,Bertolínia,2019,5501,73,48,1,61091.233,11105.47773,8.76,13.2703,13.6986,8.7257,0-1 year,73,FL_U1_BCG,0,,26,,,35.62,0,1,satisfactory,high,satisfactory
2057,220170,Bertolínia,2020,5507,70,42,2,61091.233,11105.47773,8.76,12.7111,28.5714,7.6267,0-1 year,70,FL_U1_BCG,0,,20,,,28.57,0,1,satisfactory,high,satisfactory
2058,220170,Bertolínia,2021,5512,65,0,0,61091.233,11105.47773,8.76,11.7925,0,0,0-1 year,65,FL_U1_BCG,0,,19,,,29.23,0,1,satisfactory,high,satisfactory
2059,220173,Betânia do Piauí,2019,6205,105,36,2,52478.675,8457.481869,49.3,16.9218,19.0476,5.8018,0-1 year,105,FL_U1_BCG,0,,62,,,59.05,0,2,low,satisfactory,low
2060,220173,Betânia do Piauí,2020,6210,103,33,4,52478.675,8457.481869,49.3,16.5862,38.835,5.314,0-1 year,103,FL_U1_BCG,0,,68,,,66.02,0,2,low,satisfactory,low
2061,220173,Betânia do Piauí,2021,6214,117,43,4,52478.675,8457.481869,49.3,18.8285,34.188,6.9199,0-1 year,117,FL_U1_BCG,0,,81,,,69.23,0,2,low,satisfactory,low
2062,220177,Boa Hora,2019,6781,85,28,1,53717.759,7921.804896,10.96,12.535,11.7647,4.1292,0-1 year,85,FL_U1_BCG,0,,26,,,30.59,0,1,low,high,satisfactory
2063,220177,Boa Hora,2020,6815,81,29,2,53717.759,7921.804896,10.96,11.8855,24.6914,4.2553,0-1 year,81,FL_U1_BCG,0,,51,,,62.96,0,2,low,high,satisfactory
2064,220177,Boa Hora,2021,6848,76,0,0,53717.759,7921.804896,10.96,11.0981,0,0,0-1 year,76,FL_U1_BCG,0,,26,,,34.21,0,1,low,high,satisfactory
2065,220180,Bocaina,2019,4500,52,0,0,46794.676,10398.81689,1.32,11.5556,0,0,0-1 year,52,FL_U1_BCG,0,,9,,,17.31,0,1,satisfactory,high,satisfactory
2066,220180,Bocaina,2020,4505,33,0,0,46794.676,10398.81689,1.32,7.3252,0,0,0-1 year,33,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
2067,220180,Bocaina,2021,4509,36,52,1,46794.676,10398.81689,1.32,7.984,27.7778,11.5325,0-1 year,36,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
2068,220190,Bom Jesus,2019,25179,569,123,13,839542.799,33342.97625,2.39,22.5982,22.8471,4.885,0-1 year,569,FL_U1_BCG,0,,1047,,,150,1,4,satisfactory,high,satisfactory
2069,220190,Bom Jesus,2020,25387,508,132,5,839542.799,33342.97625,2.39,20.0102,9.8425,5.1995,0-1 year,508,FL_U1_BCG,0,,628,,,123.62,1,4,satisfactory,high,satisfactory
2070,220190,Bom Jesus,2021,25584,504,164,3,839542.799,33342.97625,2.39,19.6998,5.9524,6.4103,0-1 year,504,FL_U1_BCG,0,,969,,,150,1,4,satisfactory,high,satisfactory
2071,220191,Bom Princípio do Piauí,2019,5630,89,0,0,52788.49,9376.285968,5.56,15.8082,0,0,0-1 year,89,FL_U1_BCG,0,,7,,,7.87,0,1,low,high,satisfactory
2072,220191,Bom Princípio do Piauí,2020,5651,94,51,2,52788.49,9376.285968,5.56,16.6342,21.2766,9.025,0-1 year,94,FL_U1_BCG,0,,6,,,6.38,0,1,low,high,satisfactory
2073,220191,Bom Princípio do Piauí,2021,5670,85,55,1,52788.49,9376.285968,5.56,14.9912,11.7647,9.7002,0-1 year,85,FL_U1_BCG,0,,1,,,1.18,0,1,low,high,satisfactory
2074,220192,Bonfim do Piauí,2019,5670,75,0,0,44072.306,7772.893474,28.05,13.2275,0,0,0-1 year,75,FL_U1_BCG,0,,32,,,42.67,0,1,low,satisfactory,satisfactory
2075,220192,Bonfim do Piauí,2020,5685,78,38,1,44072.306,7772.893474,28.05,13.7203,12.8205,6.6843,0-1 year,78,FL_U1_BCG,0,,18,,,23.08,0,1,low,satisfactory,satisfactory
2076,220192,Bonfim do Piauí,2021,5700,79,0,0,44072.306,7772.893474,28.05,13.8596,0,0,0-1 year,79,FL_U1_BCG,0,,6,,,7.59,0,1,low,satisfactory,satisfactory
2077,220194,Boqueirão do Piauí,2019,6407,73,31,1,46612.455,7275.238801,11.57,11.3938,13.6986,4.8385,0-1 year,73,FL_U1_BCG,0,,25,,,34.25,0,1,low,satisfactory,satisfactory
2078,220194,Boqueirão do Piauí,2020,6426,83,43,2,46612.455,7275.238801,11.57,12.9163,24.0964,6.6916,0-1 year,83,FL_U1_BCG,0,,6,,,7.23,0,1,low,satisfactory,satisfactory
2079,220194,Boqueirão do Piauí,2021,6443,91,0,0,46612.455,7275.238801,11.57,14.1239,0,0,0-1 year,91,FL_U1_BCG,0,,20,,,21.98,0,1,low,satisfactory,satisfactory
2080,220196,Brasileira,2019,8329,88,0,0,58931.99,7075.518069,3.45,10.5655,0,0,0-1 year,88,FL_U1_BCG,0,,3,,,3.41,0,1,low,high,satisfactory
2081,220196,Brasileira,2020,8347,93,0,0,58931.99,7075.518069,3.45,11.1417,0,0,0-1 year,93,FL_U1_BCG,0,,0,,,0,0,1,low,high,satisfactory
2082,220196,Brasileira,2021,8364,66,0,0,58931.99,7075.518069,3.45,7.891,0,0,0-1 year,66,FL_U1_BCG,0,,3,,,4.55,0,1,low,high,satisfactory
2083,220198,Brejo do Piauí,2019,3875,63,0,0,35021.116,9037.707355,4.79,16.2581,0,0,0-1 year,63,FL_U1_BCG,0,,2,,,3.17,0,1,low,satisfactory,satisfactory
2084,220198,Brejo do Piauí,2020,3848,29,0,0,35021.116,9037.707355,4.79,7.5364,0,0,0-1 year,29,FL_U1_BCG,0,,0,,,0,0,1,low,satisfactory,satisfactory
2085,220198,Brejo do Piauí,2021,3824,48,0,0,35021.116,9037.707355,4.79,12.5523,0,0,0-1 year,48,FL_U1_BCG,0,,0,,,0,0,1,low,satisfactory,satisfactory
2086,220200,Buriti dos Lopes,2019,19781,326,157,3,183603.712,9281.821546,10.58,16.4805,9.2025,7.9369,0-1 year,326,FL_U1_BCG,0,,35,,,10.74,0,1,low,satisfactory,satisfactory
2087,220200,Buriti dos Lopes,2020,19807,309,164,5,183603.712,9281.821546,10.58,15.6005,16.1812,8.2799,0-1 year,309,FL_U1_BCG,0,,22,,,7.12,0,1,low,satisfactory,satisfactory
2088,220200,Buriti dos Lopes,2021,19832,309,181,4,183603.712,9281.821546,10.58,15.5809,12.945,9.1267,0-1 year,309,FL_U1_BCG,0,,3,,,0.97,0,1,low,satisfactory,satisfactory
2089,220202,Buriti dos Montes,2019,8244,63,33,2,61799.39,7496.286997,6.82,7.6419,31.746,4.0029,0-1 year,63,FL_U1_BCG,0,,24,,,38.1,0,1,low,high,satisfactory
2090,220202,Buriti dos Montes,2020,8264,58,35,1,61799.39,7496.286997,6.82,7.0184,17.2414,4.2352,0-1 year,58,FL_U1_BCG,0,,25,,,43.1,0,1,low,high,satisfactory
2091,220202,Buriti dos Montes,2021,8282,71,53,2,61799.39,7496.286997,6.82,8.5728,28.169,6.3994,0-1 year,71,FL_U1_BCG,0,,0,,,0,0,1,low,high,satisfactory
2092,220205,Cabeceiras do Piauí,2019,10586,130,67,1,71822.9,6784.706216,4.84,12.2804,7.6923,6.3291,0-1 year,130,FL_U1_BCG,0,,55,,,42.31,0,1,low,high,satisfactory
2093,220205,Cabeceiras do Piauí,2020,10630,111,66,2,71822.9,6784.706216,4.84,10.4421,18.018,6.2088,0-1 year,111,FL_U1_BCG,0,,38,,,34.23,0,1,low,high,satisfactory
2094,220205,Cabeceiras do Piauí,2021,10671,95,0,0,71822.9,6784.706216,4.84,8.9026,0,0,0-1 year,95,FL_U1_BCG,0,,11,,,11.58,0,1,low,high,satisfactory
2095,220207,Cajazeiras do Piauí,2019,3559,45,0,0,27964.176,7857.312728,1.31,12.644,0,0,0-1 year,45,FL_U1_BCG,0,,3,,,6.67,0,1,low,high,satisfactory
2096,220207,Cajazeiras do Piauí,2020,3573,29,0,0,27964.176,7857.312728,1.31,8.1164,0,0,0-1 year,29,FL_U1_BCG,0,,0,,,0,0,1,low,high,satisfactory
2097,220207,Cajazeiras do Piauí,2021,3586,38,31,1,27964.176,7857.312728,1.31,10.5968,26.3158,8.6447,0-1 year,38,FL_U1_BCG,0,,0,,,0,0,1,low,high,satisfactory
2098,220208,Cajueiro da Praia,2019,7642,112,54,1,92579.005,12114.49948,49.72,14.6558,8.9286,7.0662,0-1 year,112,FL_U1_BCG,0,,19,,,16.96,0,1,low,satisfactory,satisfactory
2099,220208,Cajueiro da Praia,2020,7674,127,54,1,92579.005,12114.49948,49.72,16.5494,7.874,7.0367,0-1 year,127,FL_U1_BCG,0,,5,,,3.94,0,1,low,satisfactory,satisfactory
2100,220208,Cajueiro da Praia,2021,7704,126,72,1,92579.005,12114.49948,49.72,16.3551,7.9365,9.3458,0-1 year,126,FL_U1_BCG,0,,2,,,1.59,0,1,low,satisfactory,satisfactory
2101,220209,Caldeirão Grande do Piauí,2019,5776,67,0,0,86666.659,15004.61548,36.43,11.5997,0,0,0-1 year,67,FL_U1_BCG,0,,22,,,32.84,0,1,low,satisfactory,satisfactory
2102,220209,Caldeirão Grande do Piauí,2020,5781,74,26,1,86666.659,15004.61548,36.43,12.8006,13.5135,4.4975,0-1 year,74,FL_U1_BCG,0,,18,,,24.32,0,1,low,satisfactory,satisfactory
2103,220209,Caldeirão Grande do Piauí,2021,5786,77,20,1,86666.659,15004.61548,36.43,13.308,12.987,3.4566,0-1 year,77,FL_U1_BCG,0,,10,,,12.99,0,1,low,satisfactory,satisfactory
2104,220210,Campinas do Piauí,2019,5613,58,32,1,46997.083,8372.899163,7.85,10.3332,17.2414,5.7011,0-1 year,58,FL_U1_BCG,0,,0,,,0,0,1,low,high,satisfactory
2105,220210,Campinas do Piauí,2020,5620,72,45,3,46997.083,8372.899163,7.85,12.8114,41.6667,8.0071,0-1 year,72,FL_U1_BCG,0,,5,,,6.94,0,1,low,high,satisfactory
2106,220210,Campinas do Piauí,2021,5628,53,0,0,46997.083,8372.899163,7.85,9.4172,0,0,0-1 year,53,FL_U1_BCG,0,,0,,,0,0,1,low,high,satisfactory
2107,220211,Campo Alegre do Fidalgo,2019,5045,47,0,0,42294.171,8383.383746,31.97,9.3162,0,0,0-1 year,47,FL_U1_BCG,0,,36,,,76.6,0,2,low,high,satisfactory
2108,220211,Campo Alegre do Fidalgo,2020,5069,59,30,1,42294.171,8383.383746,31.97,11.6394,16.9492,5.9183,0-1 year,59,FL_U1_BCG,0,,45,,,76.27,0,2,low,high,satisfactory
2109,220211,Campo Alegre do Fidalgo,2021,5093,69,19,2,42294.171,8383.383746,31.97,13.548,28.9855,3.7306,0-1 year,69,FL_U1_BCG,0,,53,,,76.81,0,2,low,high,satisfactory
2110,220213,Campo Grande do Piauí,2019,5943,91,0,0,52685.912,8865.204779,25.47,15.3121,0,0,0-1 year,91,FL_U1_BCG,0,,13,,,14.29,0,1,low,satisfactory,satisfactory
2111,220213,Campo Grande do Piauí,2020,5965,75,45,2,52685.912,8865.204779,25.47,12.5733,26.6667,7.544,0-1 year,75,FL_U1_BCG,0,,2,,,2.67,0,1,low,satisfactory,satisfactory
2112,220213,Campo Grande do Piauí,2021,5987,87,45,2,52685.912,8865.204779,25.47,14.5315,22.9885,7.5163,0-1 year,87,FL_U1_BCG,0,,9,,,10.34,0,1,low,satisfactory,satisfactory
2113,220217,Campo Largo do Piauí,2019,7279,106,23,4,49110.218,6746.835829,11.21,14.5624,37.7358,3.1598,0-1 year,106,FL_U1_BCG,0,,108,,,101.89,1,3,low,high,low
2114,220217,Campo Largo do Piauí,2020,7311,100,36,1,49110.218,6746.835829,11.21,13.678,10,4.9241,0-1 year,100,FL_U1_BCG,0,,47,,,47,0,1,low,high,low
2115,220217,Campo Largo do Piauí,2021,7342,90,25,2,49110.218,6746.835829,11.21,12.2582,22.2222,3.4051,0-1 year,90,FL_U1_BCG,0,,22,,,24.44,0,1,low,high,low
2116,220220,Campo Maior,2019,46833,614,356,5,634683.488,13552.05705,3.79,13.1104,8.1433,7.6015,0-1 year,614,FL_U1_BCG,0,,598,,,97.39,1,3,satisfactory,high,satisfactory
2117,220220,Campo Maior,2020,46893,516,419,8,634683.488,13552.05705,3.79,11.0038,15.5039,8.9352,0-1 year,516,FL_U1_BCG,0,,744,,,144.19,1,4,satisfactory,high,satisfactory
2118,220220,Campo Maior,2021,46950,564,445,6,634683.488,13552.05705,3.79,12.0128,10.6383,9.4782,0-1 year,564,FL_U1_BCG,0,,799,,,141.67,1,4,satisfactory,high,satisfactory
2119,220225,Canavieira,2019,3950,50,21,1,34535.407,8743.141013,6.92,12.6582,20,5.3165,0-1 year,50,FL_U1_BCG,0,,16,,,32,0,1,low,high,satisfactory
2120,220225,Canavieira,2020,3944,35,0,0,34535.407,8743.141013,6.92,8.8742,0,0,0-1 year,35,FL_U1_BCG,0,,3,,,8.57,0,1,low,high,satisfactory
2121,220225,Canavieira,2021,3938,48,0,0,34535.407,8743.141013,6.92,12.1889,0,0,0-1 year,48,FL_U1_BCG,0,,3,,,6.25,0,1,low,high,satisfactory
2122,220230,Canto do Buriti,2019,21187,295,162,3,234604.636,11073.04649,5.2,13.9236,10.1695,7.6462,0-1 year,295,FL_U1_BCG,0,,149,,,50.51,0,2,low,satisfactory,satisfactory
2123,220230,Canto do Buriti,2020,21258,264,152,6,234604.636,11073.04649,5.2,12.4189,22.7273,7.1502,0-1 year,264,FL_U1_BCG,0,,121,,,45.83,0,1,low,satisfactory,satisfactory
2124,220230,Canto do Buriti,2021,21326,294,136,4,234604.636,11073.04649,5.2,13.786,13.6054,6.3772,0-1 year,294,FL_U1_BCG,0,,134,,,45.58,0,1,low,satisfactory,satisfactory
2125,220240,Capitão de Campos,2019,11417,156,66,1,93963.327,8230.124113,8.09,13.6638,6.4103,5.7809,0-1 year,156,FL_U1_BCG,0,,32,,,20.51,0,1,low,high,satisfactory
2126,220240,Capitão de Campos,2020,11445,127,73,1,93963.327,8230.124113,8.09,11.0965,7.874,6.3783,0-1 year,127,FL_U1_BCG,0,,82,,,64.57,0,2,low,high,satisfactory
